event_id,satellite,NDVI_mean,NDWI_mean,NDMI_mean,MNDWI_mean,NDBI_mean
FLASH_0127_Sentinel-2,Sentinel-2,0.22009801864624023,-0.16165028512477875,0.22009801864624023,-0.010980907827615738,-0.22009801864624023
HEAT_0013_Sentinel-2,Sentinel-2,0.14299845695495605,-0.20882046222686768,0.14299845695495605,0.10953674465417862,-0.14299845695495605
HEAT_0014_Sentinel-2,Sentinel-2,0.17304779589176178,-0.19081000983715057,0.17304779589176178,0.03519318252801895,-0.17304779589176178
FLASH_0129_Sentinel-2,Sentinel-2,0.47095414996147156,-0.39068856835365295,0.47095414996147156,0.03291592001914978,-0.47095414996147156
FLASH_0128_Sentinel-2,Sentinel-2,-0.013657627627253532,0.02371450699865818,-0.013657627627253532,-0.01213391125202179,0.013657627627253532
FLASH_0131_Sentinel-2,Sentinel-2,0.32865503430366516,-0.27158719301223755,0.32865503430366516,0.0526081845164299,-0.32865503430366516
FLASH_0130_Sentinel-2,Sentinel-2,0.3878243863582611,-0.32308080792427063,0.3878243863582611,0.004601700231432915,-0.3878243863582611
FLASH_0132_Sentinel-2,Sentinel-2,-0.025860730558633804,0.04696713387966156,-0.025860730558633804,-0.022770073264837265,0.025860730558633804
FLASH_0133_Sentinel-2,Sentinel-2,0.4906233549118042,-0.4411661624908447,0.4906233549118042,0.1014055535197258,-0.4906233549118042
FLASH_0134_Sentinel-2,Sentinel-2,0.47521889209747314,-0.41304028034210205,0.47521889209747314,0.1958298683166504,-0.47521889209747314
FLASH_0135_Sentinel-2,Sentinel-2,0.22974997758865356,-0.191773921251297,0.22974997758865356,0.003059917828068137,-0.22974997758865356
FLASH_0136_Sentinel-2,Sentinel-2,0.19154025614261627,-0.19282791018486023,0.19154025614261627,0.05571427568793297,-0.19154025614261627
FLASH_0138_Sentinel-2,Sentinel-2,0.2342412769794464,-0.24059747159481049,0.2342412769794464,0.05907578021287918,-0.2342412769794464
FLASH_0137_Sentinel-2,Sentinel-2,0.0941358432173729,-0.06786245852708817,0.0941358432173729,-0.014285227283835411,-0.0941358432173729
FLASH_0139_Sentinel-2,Sentinel-2,-0.012377760373055935,0.01650812476873398,-0.012377760373055935,0.0001910591236082837,0.012377760373055935
FLASH_0140_Sentinel-2,Sentinel-2,0.12339377403259277,-0.09601187705993652,0.12339377403259277,-0.015511811710894108,-0.12339377403259277
FLASH_0142_Sentinel-2,Sentinel-2,0.10663870722055435,-0.07268509268760681,0.10663870722055435,-0.016800524666905403,-0.10663870722055435
FLASH_0141_Sentinel-2,Sentinel-2,-0.021740350872278214,0.06020946055650711,-0.021740350872278214,-0.04370247945189476,0.021740350872278214
FLASH_0143_Sentinel-2,Sentinel-2,0.19091039896011353,-0.14886897802352905,0.19091039896011353,0.005550301168113947,-0.19091039896011353
FLASH_0144_Sentinel-2,Sentinel-2,0.05100978538393974,-0.029443390667438507,0.05100978538393974,-0.06005173921585083,-0.05100978538393974
FLASH_0145_Sentinel-2,Sentinel-2,0.03871023654937744,-0.018793174996972084,0.03871023654937744,-0.02240770496428013,-0.03871023654937744
FLASH_0146_Sentinel-2,Sentinel-2,0.27711841464042664,-0.2339296191930771,0.27711841464042664,0.003222932806238532,-0.27711841464042664
FLASH_0148_Sentinel-2,Sentinel-2,0.19042105972766876,-0.18011128902435303,0.19042105972766876,0.022378727793693542,-0.19042105972766876
FLASH_0147_Sentinel-2,Sentinel-2,0.6696360111236572,-0.5975217223167419,0.6696360111236572,0.18266178667545319,-0.6696360111236572
FLASH_0149_Sentinel-2,Sentinel-2,0.04745256155729294,-0.061965420842170715,0.04745256155729294,0.030536575242877007,-0.04745256155729294
HEAT_0015_Sentinel-2,Sentinel-2,0.36158743500709534,-0.44849175214767456,0.36158743500709534,0.2188560962677002,-0.36158743500709534
FLASH_0150_Sentinel-2,Sentinel-2,0.7397164702415466,-0.6445115804672241,0.7397164702415466,0.2589268982410431,-0.7397164702415466
HEAT_0016_Sentinel-2,Sentinel-2,0.25328919291496277,-0.3358161449432373,0.25328919291496277,0.14376595616340637,-0.25328919291496277
FLASH_0151_Sentinel-2,Sentinel-2,0.04058288782835007,-0.03558871150016785,0.04058288782835007,-0.020502472296357155,-0.04058288782835007
FLASH_0152_Sentinel-2,Sentinel-2,-0.03498397395014763,0.13383907079696655,-0.03498397395014763,-0.13502368330955505,0.03498397395014763
FLASH_0153_Sentinel-2,Sentinel-2,0.3586970567703247,-0.28985586762428284,0.3586970567703247,0.025288479402661324,-0.3586970567703247
HEAT_0017_Sentinel-2,Sentinel-2,0.25458988547325134,-0.26174506545066833,0.25458988547325134,0.05444173514842987,-0.25458988547325134
