time,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,wind_speed_10m,wind_direction_10m,precipitation,u_wind,v_wind
2026-07-08T00:00,31.0,58,21.7,1003.5,25.0,247,0.0,23.012621336311007,9.768278212231845
2026-07-08T01:00,30.3,61,21.9,1003.5,24.5,244,0.0,22.020454134329587,10.740093096332405
2026-07-08T02:00,29.7,63,21.9,1003.5,23.7,242,0.0,20.92585795075657,11.12647603802561
2026-07-08T03:00,29.2,65,21.9,1003.5,21.7,243,0.0,19.33484157488758,9.851593844348168
2026-07-08T04:00,28.8,66,21.8,1003.5,20.1,246,0.0,18.36226369861628,8.175406525823583
2026-07-08T05:00,28.5,67,21.7,1003.8,18.3,238,0.0,15.519280159662596,9.697522535467652
2026-07-08T06:00,28.9,65,21.6,1004.5,16.5,238,0.0,13.992793586581028,8.743667859847882
2026-07-08T07:00,29.9,61,21.5,1005.1,18.9,239,0.0,16.200461983269918,9.73421961580003
2026-07-08T08:00,30.8,57,21.3,1005.5,21.4,245,0.0,19.39498664258431,9.044030801250962
2026-07-08T09:00,32.8,50,21.0,1005.5,22.1,251,0.0,20.895960520744904,7.195056213503162
2026-07-08T10:00,34.0,46,20.7,1005.1,21.5,247,0.0,19.790854349227466,8.400719262519388
2026-07-08T11:00,34.9,43,20.4,1004.2,22.1,244,0.0,19.863348423211587,9.688002344038619
2026-07-08T12:00,35.0,41,19.8,1003.0,19.5,247,0.0,17.949844642322585,7.61925700554084
2026-07-08T13:00,35.8,39,19.7,1002.1,19.4,260,0.0,19.105270408436834,3.3687746467384483
2026-07-08T14:00,36.3,38,19.7,1001.3,18.7,254,0.0,17.975593714046564,5.154418553777879
2026-07-08T15:00,35.5,40,19.8,1000.8,12.3,238,0.0,10.43099158272404,6.518006950068422
2026-07-08T16:00,35.0,41,19.8,1000.4,12.4,244,0.0,11.14504617410967,5.435802220184564
2026-07-08T17:00,35.0,41,19.8,1000.5,14.3,242,0.0,12.626150577882656,6.713443347838238
2026-07-08T18:00,34.3,43,19.9,1001.2,10.5,232,0.0,8.274112912870581,6.46444549091941
2026-07-08T19:00,34.4,42,19.6,1002.5,18.9,262,0.0,18.716066499215675,2.6303716081452437
2026-07-08T20:00,33.4,45,19.8,1003.5,20.5,252,0.0,19.496658584050646,6.334848384686425
2026-07-08T21:00,32.7,47,19.9,1004.0,19.0,243,0.0,16.929123959578988,8.625819495051392
2026-07-08T22:00,32.3,49,20.2,1004.1,16.8,239,0.0,14.400410651795484,8.652639658488916
2026-07-08T23:00,31.6,52,20.5,1003.8,12.0,237,0.0,10.064046815345089,6.535668420180324
2026-07-09T00:00,32.1,50,20.3,1003.5,18.3,250,0.0,17.196374960382126,6.258968622859735
2026-07-09T01:00,31.8,51,20.4,1003.1,23.7,248,0.0,21.974257353232858,8.878176263957121
2026-07-09T02:00,30.8,55,20.7,1002.9,22.0,249,0.0,20.538769382938437,7.884094889996616
2026-07-09T03:00,30.1,58,20.9,1003.3,18.3,248,0.0,16.96746453857221,6.855300659511196
2026-07-09T04:00,29.5,60,20.9,1003.9,17.2,250,0.0,16.162713077517623,5.882746465201499
2026-07-09T05:00,28.9,63,21.1,1004.3,17.2,244,0.0,15.459257596345669,7.539983724772137
2026-07-09T06:00,28.8,64,21.3,1005.0,18.0,241,0.0,15.743154728509127,8.726573164434063
2026-07-09T07:00,30.0,59,21.1,1005.7,21.7,243,0.0,19.33484157488758,9.851593844348168
2026-07-09T08:00,31.6,52,20.5,1006.0,23.7,250,0.0,22.27071511262603,8.105877396818345
2026-07-09T09:00,32.8,48,20.3,1006.2,24.0,246,0.0,21.92509098342242,9.761679433819202
2026-07-09T10:00,34.1,45,20.4,1005.7,22.9,248,0.0,21.23251026957943,8.578490989224392
2026-07-09T11:00,35.4,42,20.5,1004.9,21.5,249,0.0,20.071979169689836,7.704910915223965
2026-07-09T12:00,34.9,44,20.8,1004.5,25.3,266,0.1,25.238370471573553,1.7648387857263772
2026-07-09T13:00,33.3,49,21.1,1003.6,20.7,263,0.1,20.545705338975367,2.5226954084865465
2026-07-09T14:00,35.3,43,20.8,1003.1,22.7,260,0.0,22.35513599337712,3.9418136330393185
2026-07-09T15:00,33.2,49,21.0,1003.3,28.1,272,0.1,28.082882239236593,-0.9806758573402861
2026-07-09T16:00,32.6,48,20.1,1003.3,22.3,270,0.1,22.3,4.096443543147897e-15
2026-07-09T17:00,31.6,49,19.5,1003.8,30.1,276,0.0,29.93510905058503,-3.146306744356355
2026-07-09T18:00,30.7,51,19.4,1004.5,26.3,274,0.0,26.23593452183338,-1.8345952594704933
2026-07-09T19:00,31.2,50,19.5,1005.0,23.3,262,0.0,23.073246001678587,3.242733252369534
2026-07-09T20:00,31.1,52,20.0,1005.8,20.2,274,0.0,20.150793815248452,-1.4090807696313294
2026-07-09T21:00,30.7,54,20.3,1006.1,14.6,280,0.0,14.37819319397824,-2.5352633939371776
2026-07-09T22:00,30.8,55,20.7,1006.6,16.8,280,0.0,16.544770250605097,-2.9172893848044237
2026-07-09T23:00,30.8,54,20.4,1006.2,21.7,294,0.0,19.823936430844444,-8.826185154744854
2026-07-10T00:00,29.9,56,20.1,1005.5,20.8,293,0.0,19.14650095181076,-8.127207472576888
2026-07-10T01:00,29.0,61,20.7,1005.3,15.9,298,0.0,14.038866726456941,-7.464597848295658
2026-07-10T02:00,28.8,64,21.3,1004.9,13.2,287,0.0,12.623222778712067,-3.8593065023401243
2026-07-10T03:00,29.1,64,21.6,1005.1,14.2,277,0.0,14.094155353306771,-1.730544676353097
2026-07-10T04:00,29.1,63,21.3,1005.1,16.7,277,0.0,16.575520732410077,-2.035218034865966
2026-07-10T05:00,29.3,63,21.5,1005.8,16.2,266,0.0,16.16053761420915,1.1300548746548345
2026-07-10T06:00,29.4,62,21.3,1006.7,15.9,266,0.0,15.861268399131205,1.1091279325315968
2026-07-10T07:00,29.7,62,21.6,1007.4,20.0,277,0.0,19.85092303282644,-2.4373868681029536
2026-07-10T08:00,29.6,63,21.8,1007.7,22.1,286,0.0,21.243883480236846,-6.091585563555687
2026-07-10T09:00,29.5,63,21.7,1007.8,20.8,284,0.0,20.18215110654073,-5.031975428473083
2026-07-10T10:00,29.1,65,21.8,1007.6,18.0,269,0.0,17.997258512815044,0.31414331587110295
2026-07-10T11:00,29.4,64,21.8,1007.1,11.6,254,0.0,11.1506356728845,3.197393327477187
2026-07-10T12:00,32.1,52,21.0,1006.1,13.2,259,0.0,12.957478821509163,2.518678738970389
2026-07-10T13:00,34.5,43,20.1,1005.2,19.8,282,0.0,19.36732249452935,-4.116651478191637
2026-07-10T14:00,34.6,41,19.4,1004.6,17.3,287,0.0,16.544072278160513,-5.058030491703345
2026-07-10T15:00,34.4,42,19.6,1004.3,16.0,316,0.0,11.114533927343961,-11.509436805418414
2026-07-10T16:00,32.6,49,20.5,1004.4,14.3,348,0.0,2.973137178693966,-13.987510690493421
2026-07-10T17:00,31.1,55,21.0,1004.7,8.9,346,0.0,2.153104870837044,-8.635631963856369
2026-07-10T18:00,30.7,57,21.2,1005.0,4.9,306,0.0,3.964183272437243,-2.8801477362331176
2026-07-10T19:00,30.6,57,21.1,1005.3,2.6,74,0.0,-2.499280409439629,-0.7166571251241979
2026-07-10T20:00,30.3,58,21.1,1006.0,2.9,120,0.0,-2.511473670974872,1.4499999999999993
2026-07-10T21:00,30.3,58,21.1,1006.3,4.2,200,0.0,1.4364846019678084,3.9467090073008158
2026-07-10T22:00,30.4,57,20.9,1006.4,2.9,240,0.0,2.5114736709748713,1.4500000000000013
2026-07-10T23:00,30.5,55,20.4,1005.9,6.4,286,0.0,6.152074854005241,-1.7640790772287962
