event_id,event_date,satellite,image_date,latitude,longitude,era5_temp_mean_c,era5_dewpoint_mean_c,era5_pressure_mean_pa,era5_u_wind_mean,era5_v_wind_mean,era5_precip_sum_mm,era5_runoff_sum_mm,modis_date,search_window_days,LST_Day_C,LST_Night_C
FLASH_0120,2018-02-03,Landsat,2018-01-29,3.1874261,113.0472803,0.09358763992842421,0.3774820775199461,0.415397218295387,-0.31861340438077157,0.06337137693424205,-0.15098492670118832,-0.15049265003433693,,3.0,-0.20786097963796327,-0.13750766277171356
FLASH_0127,2019-03-16,Sentinel-2,2019-03-12,-2.607934,141.0015929,0.09358763992842421,0.3774820775199461,0.415397218295387,-0.31861340438077157,0.06337137693424205,-0.15098492670118832,-0.15049265003433693,,3.0,-0.20786097963796327,-0.13750766277171356
HEAT_0014,2019-06-01,Sentinel-2,2019-05-27,14.9562045,75.7896741,1.4513081151030176,0.14110758485178232,-0.2861674374154633,1.9911226535584756,0.58341538429058,-0.7523893626536183,-1.0656980277130923,2019-05-24,3.0,2.0012665965604963,-0.13750766277171356
HEAT_0013,2019-06-01,Sentinel-2,2019-05-30,19.877263,75.3390241,2.9415829844409287,-1.694780525318786,-0.35213879920747543,1.8689465283406355,-1.9132032719773013,-0.8522522697573706,-1.0672023956485845,2019-05-27,3.0,3.3849537500183624,3.330739989974976
FLASH_0128,2019-08-05,Sentinel-2,2019-08-04,21.15,107.2,-0.2288505625385068,0.6363001052015307,0.1276578463953975,1.6463644841250036,-1.4615487235562803,0.9733393709631892,0.8742546840461421,2019-08-06,3.0,-0.20786097963796327,0.4629216790523742
FLASH_0129,2019-12-12,Sentinel-2,2019-12-11,-1.0478201,119.6758465,-1.4660649584377403,-0.3805888363196863,-1.2820914981726454,-0.2823386392967081,0.26863567506660585,0.07763234163369052,0.2089768947273052,2019-12-09,3.0,-0.8862407807283356,-0.13750766277171356
FLASH_0130,2019-12-31,Sentinel-2,2019-12-30,2.2676999,100.134023,0.3803756132446932,0.8970995389161188,0.9141269429679798,-0.38073644648354815,0.13198087658623472,-0.02305499372431423,0.2857699183794544,2019-12-23,7.0,-0.7991772105493345,-0.13750766277171356
FLASH_0131,2020-01-19,Sentinel-2,2020-01-18,-4.5905275,103.3652613,0.13277796945507886,0.6240541777580029,0.5923340324631544,-0.31012835273135075,-0.23127031198447562,-0.04895848641913719,0.9090369932359775,2020-01-16,3.0,-0.1783606315654605,-0.13750766277171356
FLASH_0132,2020-03-04,Sentinel-2,2020-02-29,-1.6568513,120.5421575,-0.8238717211149856,-0.006139292841175009,-0.7496595370229858,-0.5107620393266394,-0.3626781146692308,-0.2530113669832396,-0.7569430404691123,2020-02-25,7.0,-1.6023972576860912,-0.13750766277171356
FLASH_0133,2020-04-04,Sentinel-2,2020-03-30,-3.08,119.82,-0.9652476772838584,-0.06654805853747993,-1.0889325541733454,-0.3712962944342082,0.19323521585000197,1.7436812671895845,3.2472504515220435,2020-03-30,3.0,-0.2595395429592292,-0.13750766277171356
FLASH_0134,2020-04-09,Sentinel-2,2020-04-08,-7.1229318,112.3281935,0.4743379433278214,0.9005563681226199,0.9232588606057222,-0.3596365743211338,-0.08142946233919185,0.26526907885065554,-0.10417134283379521,2020-04-09,3.0,0.07281864803281454,-0.13750766277171356
FLASH_0135,2020-05-22,Sentinel-2,2020-05-19,4.3685491,97.0253024,-1.6047567094210273,-0.3458062964788907,-1.797138266903052,-0.12013287321437309,0.045841506430148254,0.23344075051107527,0.6768435884232631,2020-05-22,3.0,-1.3363419490777422,-0.13750766277171356
FLASH_0136,2020-06-11,Sentinel-2,2020-06-10,0.5448041,123.0941378,0.13212637268023195,0.7478856875871548,0.9053361223217243,-0.5485803562279663,0.7978176517095644,0.43710412715169844,1.79815150614341,2020-06-09,3.0,0.8380823785935227,-0.13750766277171356
FLASH_0137,2020-07-18,Sentinel-2,2020-07-17,22.8168007,104.9504515,0.01370529932694345,0.2613592427962686,-0.8078663402588458,-0.3270984560301924,0.670850085894198,-0.6991000287832838,0.26074533637560693,2020-07-22,7.0,-0.20786097963796327,-0.30883665525434256
FLASH_0138,2020-07-19,Sentinel-2,2020-07-14,21.9596834,96.0948743,1.568986077612121,0.4871634324661451,0.5708657843980816,-0.08922797365124141,3.940690383282279,-0.8202548953370297,-1.0621768148530941,2020-07-24,15.0,-0.20786097963796327,2.5909663676450205
FLASH_0139,2020-08-01,Sentinel-2,2020-07-30,0.3825398,124.0499393,0.09358763992842421,0.3774820775199461,0.415397218295387,-0.31861340438077157,0.06337137693424205,-0.15098492670118832,-0.15049265003433693,2020-07-18,15.0,-0.43870773705409083,-0.13750766277171356
FLASH_0140,2020-08-22,Sentinel-2,2020-08-17,18.7544594,100.624804,-0.6472053666258955,0.41151930368252804,-0.20174405892688838,-0.23079560289294274,1.2668269449165475,1.244309880992673,0.7317323536740127,2020-08-27,15.0,-0.20786097963796327,0.6081114450180878
FLASH_0141,2020-11-25,Sentinel-2,2020-11-22,8.6772337,99.7309635,-0.15338839298887882,0.63750177590359,0.44398564806837093,-1.0171560808626332,0.08090124743833588,-0.4767612036817922,-0.29062617637702903,2020-11-09,15.0,-0.20786097963796327,-0.8500229881815294
FLASH_0142,2020-12-12,Sentinel-2,2020-12-10,-8.65,117.36,-0.6361305041172006,0.3135240998406088,-0.3846188414369629,0.8250250428862229,-0.9446420416810921,0.2765710743645545,-0.42223770633785684,2020-11-30,15.0,-0.9469358839079794,-0.13750766277171356
FLASH_0143,2021-01-08,Sentinel-2,2021-01-04,10.416667,123.0,0.4273337441327507,0.5656573036391542,0.7012222551864177,-1.7913002798184399,-1.8471766841749084,-0.7654898224670753,0.013206552045098763,2020-12-21,15.0,-0.20786097963796327,0.5949046869644785
FLASH_0144,2021-04-16,Sentinel-2,2021-04-13,21.8056474,106.3682127,-1.7485589297592088,-0.7090072143001387,0.08835667170447546,-0.8458374962219859,0.019313390783475846,-0.7303820488125038,-1.0023161962331362,2021-04-07,7.0,-0.20786097963796327,-0.6003371625146116
FLASH_0145,2021-07-28,Sentinel-2,2021-07-23,31.9292352,77.1828462,-2.50590488081615,-1.187813638732294,-3.856024316128856,-0.17282617513984028,0.24238954005841115,0.003865904208098458,0.02596474934417483,2021-07-20,3.0,-0.20786097963796327,-2.8868896572108134
FLASH_0146,2021-08-17,Sentinel-2,2021-08-16,5.1672991,100.5849347,0.21807011964958112,0.6834336897303135,0.6635456025522031,-0.36469418221621774,0.3123709405364055,0.8444627815753825,0.2329517254794734,2021-08-17,3.0,-0.2924168283435281,-0.13750766277171356
FLASH_0147,2021-10-20,Sentinel-2,2021-10-15,5.8098265,100.6715035,0.782976508938215,0.4591431266377469,0.5995294931984404,-0.1624944449634738,0.0008822259752670805,-0.8502733637091557,-0.3561653706655778,2021-10-15,3.0,0.28141495954580625,-0.13750766277171356
FLASH_0148,2021-11-04,Sentinel-2,2021-11-01,-7.9771308,112.6340265,-0.22275501997017416,0.35885139656522186,0.25310910217327,-0.5890104436028573,0.6517597229016451,0.10607478913577659,-1.028295473272975,2021-10-25,7.0,0.9684642390534589,-0.13750766277171356
FLASH_0149,2021-12-17,Sentinel-2,2021-12-16,3.6168822,102.5994547,0.16243205567278574,0.4407070129174492,0.7607575992323423,-0.8460503319657006,-0.9582519535484547,-0.7020075194936828,-0.5729885986867989,2021-12-14,3.0,-0.2373613277104667,-0.13750766277171356
HEAT_0015,2022-03-01,Sentinel-2,2022-02-28,21.0387956,75.0545539,0.055048907176617624,-3.1504401132806614,0.46587321097320666,-0.5441982719040209,-0.21259131904715817,-0.8521866963489253,-1.0641729953828818,2022-02-25,3.0,1.0977128131511191,-0.780928183533726
FLASH_0150,2022-04-03,Sentinel-2,2022-04-01,8.36,125.71,0.31580797575872965,0.48782932937156365,0.8081903621431566,-0.7600972737670153,0.16998118971623707,-0.7202939198511057,-0.19681395723487854,2022-03-31,3.0,0.1427291297790104,-0.13750766277171356
FLASH_0151,2022-10-04,Sentinel-2,2022-10-01,-6.2,106.85,0.7772196306808912,0.39611275847467126,0.8040881557194536,-0.48024244471867983,-0.10520532375889691,-0.812965086580853,-0.917517786067113,2022-09-24,7.0,-0.20786097963796327,1.3036965520851655
HEAT_0016,2023-04-01,Sentinel-2,2023-03-30,21.0387956,75.0545539,0.7422091699559784,-2.5896548954609364,0.39782126087625064,1.2138228690969008,-1.1302484736754912,-0.8522518795614666,-1.0539151898447179,2023-03-27,3.0,1.6452105836897508,0.7447695189937186
HEAT_0017,2023-04-01,Sentinel-2,2023-03-29,27.1303344,80.859666,-0.25552639496236956,-1.9149846362384197,0.6361757500164761,1.8789109197889606,-0.9432120165693562,-0.8516830078279138,-1.026600992906096,2023-03-26,3.0,-0.6222802636662089,-1.148125548232586
FLASH_0152,2023-06-26,Sentinel-2,2023-06-25,25.75,80.0,0.6768463353868105,1.2130455474594743,0.4329731757145233,2.854404399838253,0.4735539480501873,4.021049364296634,1.998674659610846,2023-06-24,3.0,1.0980285701789636,-0.13750766277171356
FLASH_0153,2023-08-04,Sentinel-2,2023-07-30,22.2921668,103.1798662,-0.2756466242924312,0.2504657930266522,-1.5290178819502895,-0.21811565070096992,0.15089763669298709,1.289470001223018,1.1757606016229438,2023-07-24,7.0,-1.644451479337238,-0.44832445214365474
